date,new_cases,new_deaths,new_cases_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,tests_units_not performed,tests_units_tests performed
2020-01-22,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-23,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-24,-0.6848015986688517,-1.2302813581763647,-0.684801590196936,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-25,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-26,-0.6847877517419033,-1.2302813581763647,-0.6847877606451935,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-27,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-28,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-29,-0.6848015986688517,-1.2302813581763647,-0.684801590196936,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-30,-0.6848085221323259,-1.2302813581763647,-0.6848085049728072,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
2020-01-31,-0.6847946752053775,-1.2302813581763647,-0.6847946754210649,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540812543908757,-1.6415352495719917,-1.2540812681490012,-1.6415405655121165,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.781973079498787,4.460654200611824,-4.460654200611824
